POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT,REB,AST,STL,BLK,TO,DD2,TD3
center,55,12.8,4.2,1.6,3.1,52.9,0.0,0.0,0.0,0.9,1.7,51.0,2.1,0.3,0.4,1.1,1.1,0,0
center,64,12.1,4.0,1.4,3.3,43.4,0.0,0.0,0.0,1.1,1.6,67.6,3.2,0.3,0.3,0.3,0.5,2,0
point-guard,67,40.1,22.9,8.3,20.9,39.5,2.8,8.7,32.1,3.5,5.3,67.3,4.3,7.5,2.4,0.4,3.2,22,0
point-guard,81,40.2,20.2,7.4,17.1,43.1,1.1,3.4,31.8,4.4,5.4,81.7,3.2,8.9,1.6,0.1,3.1,26,0
point-guard,81,35.0,19.8,7.7,15.7,48.8,0.9,2.3,39.8,3.6,4.1,87.3,3.3,7.3,1.3,0.2,2.7,18,1
point-guard,55,37.6,19.6,6.5,16.6,39.2,2.3,6.1,37.5,4.3,5.8,74.8,4.6,5.0,1.9,0.2,4.1,7,3
point-guard,82,36.3,18.4,6.4,14.3,45.0,1.8,4.6,39.2,3.7,4.5,81.5,3.4,5.4,1.4,0.2,2.1,5,0
point-guard,78,35.4,16.9,5.0,12.8,39.4,1.7,4.3,38.8,5.2,5.9,87.8,3.5,5.7,1.1,0.1,2.4,5,1
point-guard,79,40.4,16.6,5.7,14.1,40.3,0.9,3.2,29.2,4.3,5.5,77.5,5.5,6.2,1.8,0.4,3.7,11,0
point-guard,67,36.6,15.5,5.5,14.3,38.4,1.4,4.4,32.1,3.1,3.7,82.7,6.4,9.2,1.8,0.2,3.2,34,9
point-guard,82,34.6,14.8,5.2,11.5,45.7,0.1,0.8,18.5,4.2,5.0,83.2,4.5,6.1,1.7,0.3,2.6,11,1
point-guard,82,34.5,14.6,5.9,12.5,47.1,0.7,2.0,33.3,2.2,3.1,71.4,4.2,5.5,1.2,0.2,1.8,6,1
point-guard,78,33.5,14.5,5.1,10.8,47.0,1.3,3.3,40.5,2.9,3.2,91.6,3.0,8.8,0.9,0.1,2.7,28,1
point-guard,50,23.7,13.8,5.3,11.8,44.4,1.6,4.4,37.0,1.6,2.2,75.2,3.5,2.1,1.0,0.2,1.3,1,0
point-guard,82,38.0,13.4,5.0,12.4,40.1,1.9,5.2,36.5,1.5,1.8,87.6,3.8,6.1,1.2,0.1,2.2,7,0
point-guard,71,28.3,12.6,4.8,10.8,44.1,0.5,1.6,32.5,2.5,3.2,80.4,2.6,5.0,0.9,0.1,2.2,4,0
point-guard,39,32.2,12.6,4.8,12.3,39.0,1.2,3.8,30.7,1.8,2.5,70.7,2.7,5.3,0.5,0.1,2.0,3,0
point-guard,70,33.8,11.8,4.8,10.7,44.7,0.7,1.8,36.2,1.6,2.0,79.7,2.5,6.1,1.0,0.1,1.7,7,0
point-guard,72,29.4,10.9,4.0,9.9,40.7,1.7,5.1,33.0,1.1,1.4,83.7,2.0,6.8,1.3,0.1,1.9,14,0
point-guard,79,28.4,10.6,3.7,9.3,39.5,1.7,5.4,31.5,1.6,1.8,85.4,2.9,3.9,1.7,0.2,2.0,2,0
point-guard,60,26.6,10.6,3.7,8.7,42.7,0.1,0.4,18.2,3.0,3.7,81.3,2.6,4.5,1.6,0.2,1.7,2,0
point-guard,76,30.7,10.5,4.1,9.4,43.3,1.1,2.8,38.3,1.3,1.7,77.1,2.5,4.2,0.8,0.1,1.6,2,0
point-guard,82,36.2,10.3,3.6,8.7,41.3,0.0,0.2,11.1,3.1,3.9,79.7,3.4,6.9,1.2,0.1,2.3,10,0
point-guard,82,22.5,10.2,3.9,9.3,41.9,0.7,2.1,32.2,1.7,2.0,87.7,1.7,3.6,0.6,0.0,1.2,1,0
point-guard,82,31.5,10.2,3.5,9.3,37.6,2.0,5.3,37.1,1.3,1.6,76.9,2.8,4.5,1.4,0.2,1.6,1,0
point-guard,81,27.1,9.3,3.4,8.1,41.4,1.3,3.5,37.7,1.3,1.6,81.1,2.9,4.2,1.2,0.0,1.5,0,0
point-guard,56,30.9,8.8,3.6,8.9,40.5,0.5,1.6,29.2,1.2,1.5,77.6,2.7,4.0,1.0,0.2,1.4,0,0
point-guard,58,30.3,8.5,3.2,8.2,38.8,0.9,2.6,34.0,1.3,1.7,73.3,3.0,4.8,1.6,0.3,2.0,1,0
point-guard,64,24.1,8.4,3.0,7.6,39.7,1.3,3.8,33.6,1.1,1.5,75.3,1.5,3.5,0.7,0.0,1.4,1,0
point-guard,52,26.5,8.3,2.9,7.1,41.4,1.5,4.0,37.2,0.9,1.3,73.1,2.6,5.8,1.6,0.3,2.1,4,0
point-guard,71,21.3,8.0,2.6,5.6,47.0,0.6,1.6,36.2,2.2,2.6,84.2,2.0,4.2,0.6,0.1,0.9,6,0
point-guard,29,17.3,7.5,2.8,7.1,38.6,1.1,2.7,40.3,0.9,1.1,81.8,1.2,2.4,0.2,0.0,1.2,0,0
point-guard,80,20.8,7.5,2.5,6.1,41.6,0.3,1.0,26.6,2.1,2.8,75.7,4.1,2.9,0.8,0.2,1.3,12,2
point-guard,55,26.8,7.1,2.8,7.2,38.4,0.1,0.4,23.8,1.5,1.8,81.6,3.2,6.5,1.1,0.1,2.5,3,0
point-guard,82,21.6,7.1,2.5,7.0,35.2,0.6,2.2,29.1,1.5,1.9,79.7,1.9,2.3,1.3,0.0,1.0,0,0
point-guard,82,24.6,7.0,2.6,6.4,40.1,1.2,3.3,35.9,0.7,0.9,76.4,2.1,5.8,0.4,0.0,1.3,8,0
point-guard,82,19.7,7.0,2.7,6.3,43.1,0.3,1.0,29.4,1.2,1.4,86.3,1.9,3.7,0.8,0.0,2.1,1,0
point-guard,67,21.7,6.9,2.5,6.7,36.8,0.8,2.4,31.9,1.1,1.3,85.4,1.9,4.1,0.8,0.1,1.5,2,0
point-guard,31,15.5,6.7,2.6,6.4,40.7,0.7,2.0,35.5,0.7,0.9,85.2,1.2,2.3,0.4,0.2,1.5,0,0
point-guard,61,19.6,6.3,2.5,5.8,42.5,0.2,0.6,27.8,1.2,1.6,73.5,2.5,4.0,0.6,0.2,1.4,3,0
point-guard,58,19.6,6.2,2.4,6.1,38.9,0.1,0.8,17.4,1.3,1.6,83.0,1.4,2.2,0.8,0.1,1.1,1,0
point-guard,73,21.9,6.2,2.3,5.6,40.6,0.6,1.7,33.6,1.0,1.3,79.8,1.8,2.8,0.9,0.1,1.0,0,0
point-guard,1,11.0,6.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0
point-guard,71,17.6,6.0,2.3,5.5,41.0,1.2,2.9,40.8,0.3,0.4,74.1,2.0,3.0,0.9,0.2,1.4,1,0
point-guard,33,15.4,6.0,2.1,5.6,38.0,0.6,2.0,30.3,1.1,1.3,84.1,1.8,0.8,0.8,0.2,0.5,0,0
point-guard,44,20.6,6.0,2.6,5.8,44.1,0.0,0.1,25.0,0.8,1.1,72.9,1.8,2.8,0.6,0.1,1.1,0,0
point-guard,81,17.1,5.9,2.2,5.5,40.0,0.3,1.1,31.4,1.2,1.6,75.6,1.6,2.2,1.1,0.2,1.5,0,0
point-guard,75,18.6,5.9,2.1,5.4,38.6,1.0,2.7,37.1,0.7,0.9,82.1,1.6,2.8,0.8,0.1,1.7,1,0
point-guard,81,20.6,5.7,2.1,5.7,37.1,0.3,1.3,24.5,1.1,1.7,65.2,2.2,5.0,1.1,0.2,1.8,2,0
point-guard,69,16.1,5.5,2.1,5.1,41.4,0.4,1.2,33.8,0.9,1.1,82.3,1.6,2.4,0.8,0.1,1.2,1,0
point-guard,43,13.3,5.4,1.8,4.6,40.3,0.7,1.5,43.9,1.0,1.2,86.3,1.7,2.1,0.6,0.0,1.3,0,0
point-guard,57,13.5,5.0,2.0,5.3,38.0,0.2,0.7,25.6,0.8,1.0,78.6,1.3,1.3,0.5,0.0,0.9,0,0
shooting-guard,67,39.9,28.0,9.7,23.4,41.7,2.6,7.7,33.9,5.9,7.5,79.6,6.0,5.5,1.4,0.6,2.7,12,0
shooting-guard,48,42.5,26.4,9.1,23.4,38.7,1.2,4.1,28.6,7.1,9.5,74.5,3.7,6.8,2.4,0.1,4.4,8,0
shooting-guard,56,38.4,23.0,8.0,18.2,44.0,2.6,6.8,39.2,4.4,4.8,90.4,5.1,4.8,1.3,0.2,2.8,6,1
shooting-guard,73,38.2,22.5,8.3,20.0,41.7,1.3,3.3,38.3,4.6,5.7,80.6,4.8,4.8,1.2,0.9,3.1,7,0
shooting-guard,82,36.8,21.7,7.7,17.5,44.0,1.5,4.4,35.0,4.7,5.4,86.8,5.0,2.3,1.0,0.1,1.4,2,0
shooting-guard,79,40.7,19.0,7.5,17.0,44.0,1.1,3.4,34.0,2.9,3.4,85.1,9.3,2.7,2.1,1.3,2.0,35,0
shooting-guard,61,33.8,18.8,6.6,16.5,39.7,1.3,3.8,34.1,4.4,5.5,79.7,5.3,2.4,1.6,0.4,2.5,3,0
shooting-guard,78,37.6,18.7,7.2,16.5,43.8,1.0,3.5,28.2,3.3,4.8,68.4,6.7,2.9,1.1,0.5,2.5,11,0
shooting-guard,72,38.6,18.6,7.1,16.1,44.3,2.1,5.1,40.5,2.3,2.7,85.0,4.5,2.9,1.2,0.5,1.2,3,0
shooting-guard,50,36.0,18.5,6.8,15.6,43.5,1.7,4.0,43.1,3.1,3.4,91.3,2.4,2.0,0.8,0.0,2.0,0,0
shooting-guard,78,35.5,17.6,6.8,14.9,45.5,0.2,0.9,26.5,3.8,4.4,86.8,3.6,4.0,1.3,0.2,2.7,2,0
shooting-guard,81,37.0,17.3,5.8,14.3,40.9,2.2,5.9,37.0,3.4,4.1,83.5,3.8,3.2,1.1,0.4,1.6,1,0
shooting-guard,80,35.1,17.3,6.4,16.5,38.6,2.1,6.5,31.7,2.5,3.0,83.3,3.5,5.1,1.4,0.4,2.4,2,0
shooting-guard,81,37.3,16.8,6.2,14.8,41.7,1.8,5.2,34.7,2.7,3.2,82.7,4.1,5.4,1.5,0.2,2.8,5,0
shooting-guard,82,37.8,16.8,6.3,15.4,40.9,1.2,3.6,33.1,2.9,3.6,81.4,3.8,3.5,1.1,0.3,1.9,0,0
shooting-guard,82,40.6,16.7,6.8,15.7,43.0,1.0,3.3,30.5,2.1,2.8,75.0,4.7,4.4,1.1,0.3,2.4,4,0
shooting-guard,61,34.9,16.2,6.1,13.1,46.5,0.3,0.9,30.2,3.8,5.1,74.7,4.0,4.5,1.4,0.6,3.2,1,0
shooting-guard,80,40.4,15.8,5.8,13.5,42.6,2.1,5.3,39.0,2.2,2.7,81.1,4.5,3.2,1.3,0.4,2.3,1,0
shooting-guard,66,37.8,15.5,5.8,14.4,40.2,1.0,3.1,34.2,2.8,3.5,81.0,4.0,5.0,0.8,0.3,3.2,2,0
shooting-guard,75,34.4,14.7,5.6,12.6,44.7,0.8,2.7,31.2,2.5,3.6,70.2,3.2,5.5,0.8,0.1,2.4,7,0
shooting-guard,79,31.3,14.4,5.6,12.0,46.9,0.7,1.8,37.1,2.5,3.5,71.8,4.5,3.3,1.2,0.3,2.4,1,0
shooting-guard,73,30.6,14.2,5.4,12.8,42.2,1.5,4.0,36.7,2.0,2.5,79.1,2.7,2.1,0.8,0.2,1.4,0,0
shooting-guard,61,32.8,14.0,5.1,13.1,38.9,1.5,4.7,32.3,2.2,3.0,75.3,2.2,2.9,1.2,0.2,1.6,0,0
shooting-guard,51,35.5,13.6,4.5,12.0,37.6,1.5,5.1,30.5,3.0,3.7,82.4,3.6,4.5,1.3,0.1,1.8,0,0
shooting-guard,82,34.7,13.1,5.3,11.7,45.3,1.2,3.4,35.1,1.3,1.7,78.7,4.0,2.5,1.5,0.5,1.2,0,0
shooting-guard,77,29.4,12.8,4.3,10.2,41.8,1.1,3.2,35.9,3.1,3.9,80.2,4.5,3.8,1.8,0.2,2.1,3,0
shooting-guard,82,24.6,12.4,4.7,11.2,42.5,0.8,2.8,29.3,2.0,2.9,71.5,2.5,2.5,1.0,0.3,1.8,2,0
shooting-guard,72,26.0,12.3,5.0,11.8,42.7,0.3,1.0,31.9,1.9,2.5,75.4,3.6,1.9,1.3,0.3,2.2,0,0
shooting-guard,76,35.6,12.0,4.2,10.8,38.6,1.9,4.9,39.0,1.8,2.2,80.4,3.4,6.8,1.3,0.3,2.7,14,1
shooting-guard,75,31.1,11.7,4.3,9.6,44.9,1.3,3.4,37.0,1.8,2.5,74.1,5.9,2.9,0.9,0.2,1.9,10,0
shooting-guard,80,30.6,11.4,4.7,10.9,43.2,0.2,0.9,26.8,1.7,2.6,67.6,3.7,2.0,0.7,0.2,1.5,1,0
shooting-guard,73,28.0,11.3,4.3,9.9,43.6,0.8,2.1,39.5,1.8,2.2,85.4,3.1,1.7,0.8,0.2,1.4,1,0
shooting-guard,82,24.6,11.2,4.0,9.8,40.9,0.8,2.0,37.3,2.4,3.0,78.6,2.9,1.3,0.8,0.2,1.4,0,0
shooting-guard,65,27.2,11.1,4.2,9.5,43.8,1.2,3.3,37.2,1.6,2.2,72.3,3.3,3.6,0.9,0.2,1.6,3,0
shooting-guard,59,30.6,10.8,3.6,7.2,50.4,1.9,4.3,45.2,1.5,1.9,82.7,3.5,5.8,1.4,0.3,2.4,6,0
shooting-guard,28,22.2,10.2,3.8,8.4,44.9,0.7,1.6,43.5,1.9,2.3,82.8,3.1,1.2,0.4,0.0,1.0,0,0
shooting-guard,82,33.9,10.1,3.9,8.4,46.1,0.6,1.7,34.5,1.8,2.1,86.0,4.0,4.2,1.8,0.5,1.9,3,0
shooting-guard,80,28.2,10.0,3.3,7.4,43.8,1.7,4.2,40.1,1.8,2.1,88.5,2.4,3.1,0.8,0.1,0.9,0,0
shooting-guard,71,20.8,9.4,3.5,9.0,38.8,0.8,2.8,29.8,1.6,2.0,79.9,2.1,1.9,1.2,0.1,1.5,0,0
shooting-guard,81,26.9,9.2,3.2,7.6,42.8,0.9,2.2,38.1,1.9,2.5,74.3,3.7,2.3,1.2,0.1,1.6,1,0
shooting-guard,75,28.2,9.2,3.5,7.7,45.9,1.0,2.3,43.6,1.1,1.5,75.7,3.4,2.6,1.1,0.3,1.4,0,0
shooting-guard,69,23.8,9.0,3.3,8.5,39.0,0.6,1.7,33.6,1.7,2.3,76.9,3.9,1.9,0.7,0.3,1.5,0,0
shooting-guard,56,18.6,8.5,3.6,7.3,49.4,0.2,0.6,30.6,1.1,1.4,76.9,2.6,2.1,0.9,0.2,0.8,0,0
shooting-guard,82,26.2,8.3,2.9,7.2,40.5,1.5,4.1,37.1,0.9,1.1,80.9,3.2,1.4,1.1,0.2,0.8,0,0
shooting-guard,70,21.4,7.9,3.0,6.7,44.7,1.2,3.0,39.5,0.7,0.9,77.0,1.8,2.4,1.3,0.1,1.7,0,0
shooting-guard,79,26.2,7.6,3.5,7.3,48.1,0.0,0.1,0.0,0.6,1.0,61.0,3.3,1.7,0.8,0.2,1.1,2,0
shooting-guard,69,21.8,6.9,2.7,6.7,40.4,0.6,1.5,37.6,1.0,1.1,84.6,2.0,2.0,0.6,0.0,0.8,1,0
shooting-guard,53,14.5,6.9,2.7,6.7,40.1,0.4,1.2,31.1,1.1,1.5,72.8,1.2,1.0,0.5,0.1,1.1,0,0
shooting-guard,73,24.5,6.8,2.5,6.2,40.3,0.9,2.6,35.8,0.9,1.4,63.1,4.3,1.3,0.6,0.1,1.0,2,0
shooting-guard,60,19.8,6.8,2.7,7.5,35.9,0.9,2.3,37.5,0.6,0.8,80.0,2.3,2.5,1.1,0.1,1.1,1,0
small-forward,81,40.3,24.2,8.2,17.1,48.0,3.0,6.8,43.3,4.9,5.2,92.7,6.3,2.1,1.3,0.2,1.9,9,0
small-forward,65,37.6,24.0,7.9,18.1,43.8,1.1,3.3,32.7,7.0,8.2,85.2,5.5,5.1,1.7,0.4,2.6,10,1
small-forward,80,38.7,23.0,7.5,18.7,40.2,1.4,4.8,29.9,6.5,7.9,81.9,6.5,5.1,1.6,0.7,3.8,19,1
small-forward,79,39.5,20.9,7.9,18.9,41.7,0.8,2.7,29.0,4.4,5.8,75.4,5.5,5.9,1.6,0.7,3.5,12,0
small-forward,19,38.4,20.8,8.2,20.9,39.2,1.0,3.5,28.4,3.4,4.2,81.3,6.2,2.5,0.7,0.3,1.9,3,0
small-forward,73,36.0,20.7,6.2,13.9,44.7,1.0,3.2,32.9,7.2,8.5,84.8,5.9,3.1,0.9,0.2,2.8,5,0
small-forward,73,37.2,18.3,6.4,15.2,42.1,1.0,3.3,31.0,4.4,6.0,73.3,5.3,3.7,2.1,0.7,2.8,4,0
small-forward,80,36.8,18.1,6.7,15.8,42.5,1.8,5.3,34.0,2.9,3.7,78.5,4.6,3.1,1.8,0.3,2.8,4,0
small-forward,65,36.0,17.2,6.5,16.4,39.8,1.8,5.2,35.2,2.3,3.1,74.0,6.4,2.1,1.0,0.3,2.2,11,0
small-forward,42,31.8,16.6,6.5,14.6,44.8,0.8,2.4,34.0,2.7,3.3,83.2,4.5,1.4,1.0,0.2,2.5,2,0
small-forward,78,37.1,16.5,5.3,11.9,44.3,0.9,2.6,33.8,5.0,6.4,79.0,8.1,3.1,1.9,2.8,2.8,25,0
small-forward,31,36.6,16.2,6.2,13.2,47.1,0.3,1.1,24.2,3.5,5.1,68.8,8.0,2.0,0.7,0.1,2.1,6,0
small-forward,82,30.9,14.4,5.0,10.6,47.2,0.1,0.5,23.1,4.3,5.6,76.9,4.4,1.9,0.7,0.3,1.8,5,0
small-forward,26,29.8,13.9,4.9,12.3,39.9,0.9,2.5,35.4,3.2,4.0,80.6,3.6,4.0,0.9,0.1,3.4,1,0
small-forward,82,29.9,13.7,4.5,9.4,47.8,1.4,3.5,38.6,3.4,4.1,83.0,4.9,1.5,1.7,0.5,1.4,5,0
small-forward,80,39.0,12.9,4.8,11.3,42.4,2.0,5.1,40.0,1.3,1.6,84.3,6.1,2.8,1.1,0.3,2.2,5,0
small-forward,77,30.1,12.0,4.5,10.5,42.5,1.8,4.9,37.1,1.2,1.6,74.8,5.3,1.8,1.0,0.5,1.4,6,0
small-forward,79,26.3,10.9,4.6,9.5,48.5,0.1,0.5,17.5,1.6,2.4,64.2,4.5,2.1,0.8,0.8,1.6,3,0
small-forward,82,32.9,10.3,4.1,8.8,46.8,0.7,1.9,36.3,1.3,1.7,76.6,4.8,2.3,0.8,0.8,1.5,2,0
small-forward,56,21.6,10.2,3.8,8.4,44.8,0.8,2.0,38.9,1.8,2.1,86.6,3.1,0.8,0.7,0.4,1.0,0,0
small-forward,56,25.2,9.6,3.8,9.8,39.2,0.2,0.7,23.7,1.8,2.4,73.5,3.4,1.6,1.2,0.3,1.5,1,0
small-forward,70,29.2,9.6,4.0,9.9,40.0,0.6,1.9,30.5,1.1,1.4,78.6,3.8,1.5,1.0,0.2,1.6,2,0
small-forward,80,25.9,9.2,3.3,8.1,40.6,1.3,3.0,41.9,1.4,2.0,70.8,4.5,1.9,1.0,0.4,1.2,2,0
small-forward,81,26.9,9.2,3.2,7.6,42.8,0.9,2.2,38.1,1.9,2.5,74.3,3.7,2.3,1.2,0.1,1.6,1,0
small-forward,76,27.6,9.2,3.7,8.9,41.1,0.4,1.0,38.0,1.5,1.8,80.4,3.8,2.3,0.9,0.3,1.4,1,0
small-forward,68,29.9,9.2,3.5,9.3,38.0,0.1,0.6,23.8,2.0,2.6,75.6,4.8,1.9,1.1,0.2,1.3,5,0
small-forward,67,23.7,8.6,3.4,7.9,43.0,0.3,1.0,30.3,1.4,2.1,70.3,5.5,1.4,1.0,0.8,1.0,4,0
small-forward,79,24.6,8.5,3.1,6.9,44.6,0.8,2.4,34.9,1.5,2.1,73.2,3.8,1.3,1.3,0.7,0.7,4,0
small-forward,73,20.8,8.4,2.9,6.9,41.7,0.7,2.3,29.2,2.0,2.7,72.9,3.7,2.7,0.8,0.3,1.5,2,0
small-forward,80,24.7,7.9,3.0,7.1,42.2,0.5,1.6,28.1,1.5,2.0,76.4,2.8,1.5,0.9,0.2,1.5,0,0
small-forward,69,20.4,7.8,3.0,7.3,41.0,0.7,2.2,32.9,1.1,1.4,76.5,4.4,2.0,0.9,0.4,1.4,5,0
small-forward,56,24.6,7.8,2.6,6.7,39.4,0.0,0.2,16.7,2.5,3.0,83.4,4.7,1.7,0.9,0.3,1.3,2,0
small-forward,72,13.7,7.5,3.0,6.5,45.9,0.5,1.2,37.9,1.1,1.4,75.0,2.3,0.8,0.4,0.3,1.1,0,0
small-forward,82,23.8,7.4,2.8,7.0,40.8,0.8,2.3,34.9,0.9,1.2,76.0,4.0,1.4,1.0,0.5,1.1,3,0
small-forward,21,12.9,7.0,2.4,5.0,47.2,0.4,1.0,40.9,1.9,2.2,83.0,1.9,0.4,0.2,0.5,1.6,0,0
small-forward,82,32.0,6.9,2.6,6.1,42.0,0.9,2.6,36.3,0.8,1.4,57.9,3.1,1.4,1.0,0.4,1.1,0,0
small-forward,45,15.0,6.8,2.6,5.6,47.6,1.1,2.4,46.3,0.4,0.5,76.2,1.4,0.5,0.2,0.3,0.6,0,0
small-forward,51,20.1,6.7,3.1,6.4,48.2,0.0,0.1,20.0,0.5,0.8,65.1,2.0,1.1,0.6,0.2,0.9,0,0
small-forward,47,19.0,6.2,2.4,6.0,39.4,0.1,0.2,44.4,1.4,2.2,62.9,3.6,1.2,0.7,0.4,1.1,0,0
small-forward,57,13.7,6.0,2.6,5.7,45.0,0.0,0.1,0.0,0.8,1.0,81.0,2.5,0.7,0.3,0.1,0.8,0,0
small-forward,33,15.7,6.0,2.3,6.5,35.3,0.6,1.8,35.0,0.7,1.1,68.6,2.7,0.8,0.5,0.2,1.2,0,0
small-forward,23,17.9,5.9,2.3,6.1,37.9,0.6,2.1,27.1,0.7,1.2,63.0,3.0,2.2,0.9,0.4,1.3,0,0
small-forward,58,17.9,5.8,2.2,5.4,40.1,0.9,2.4,39.9,0.5,0.7,79.5,2.0,1.1,0.3,0.2,0.7,1,0
small-forward,69,20.5,5.8,2.1,5.0,41.2,0.0,0.1,14.3,1.6,2.0,79.1,2.5,1.2,0.8,0.2,1.1,0,0
small-forward,77,20.8,5.8,2.1,5.4,38.7,0.6,1.9,34.0,0.9,1.2,77.2,2.5,1.7,0.8,0.2,1.0,1,0
small-forward,21,13.7,5.4,1.7,4.6,37.1,0.6,1.7,36.1,1.3,1.5,90.3,1.9,0.5,0.4,0.3,0.8,0,0
small-forward,53,14.1,5.3,1.8,4.4,41.6,0.7,2.0,33.3,1.0,1.4,69.3,2.2,0.5,0.6,0.2,0.8,0,0
small-forward,81,28.0,5.0,2.2,4.7,46.5,0.0,0.2,30.8,0.6,0.8,78.7,3.2,1.6,0.4,0.7,0.6,1,0
small-forward,38,22.3,4.8,1.9,4.9,39.2,0.4,1.6,24.6,0.6,0.8,73.3,2.7,2.6,0.8,0.1,1.3,0,0
small-forward,78,21.8,4.8,1.9,4.8,39.7,0.6,1.8,30.9,0.4,0.7,66.7,4.0,1.5,0.6,0.2,0.8,1,0
power-forward,82,39.4,24.2,9.8,19.6,49.9,0.1,0.5,25.6,4.5,5.7,79.1,13.9,5.0,1.5,2.2,2.6,71,2
power-forward,77,37.9,21.8,7.9,17.0,46.2,1.3,3.8,34.1,4.8,5.5,87.7,8.7,2.7,1.2,1.4,1.8,31,0
power-forward,82,36.5,21.0,7.6,17.9,42.6,0.8,2.6,32.2,5.0,6.4,77.7,6.1,2.8,1.2,0.5,3.0,11,0
power-forward,81,37.9,20.1,8.2,16.9,48.5,0.0,0.1,20.0,3.7,4.9,76.1,10.5,2.0,0.8,0.5,3.0,43,0
power-forward,69,38.7,20.0,7.0,14.2,49.3,0.0,0.0,0.0,6.0,7.7,77.3,10.3,3.3,0.9,2.2,2.8,40,0
power-forward,82,38.2,18.5,6.8,13.6,49.8,0.6,1.6,36.4,4.4,5.7,76.3,5.7,3.8,1.1,0.3,2.4,9,0
power-forward,80,36.6,17.8,6.7,15.4,43.5,1.8,4.8,37.6,2.6,3.4,76.3,6.5,2.2,1.2,0.7,1.7,6,0
power-forward,78,31.5,17.7,6.5,13.4,48.2,0.1,0.2,26.7,4.7,6.6,71.4,7.7,2.5,0.6,1.7,2.4,24,0
power-forward,80,37.5,17.1,6.1,14.1,43.0,0.8,2.6,29.8,4.3,5.7,74.2,9.7,4.1,1.1,0.9,3.0,37,1
power-forward,81,35.5,17.0,6.5,14.4,45.3,0.0,0.0,0.0,3.9,4.9,80.9,7.0,2.0,0.7,0.3,2.2,16,0
power-forward,65,34.6,16.7,6.8,13.8,48.8,0.1,0.4,28.0,3.1,4.5,68.4,9.5,2.5,1.5,1.3,2.6,27,0
power-forward,85,31.6,16.3,5.9,12.4,47.5,0.1,0.4,26.5,4.4,5.0,86.9,7.5,2.0,0.8,0.4,2.2,28,0
power-forward,72,32.5,16.1,5.7,12.5,45.4,1.3,3.2,39.9,3.5,4.0,85.9,7.0,1.7,0.9,0.5,2.3,15,0
power-forward,68,35.1,16.0,6.3,14.3,43.6,1.2,3.6,33.1,2.3,3.1,73.6,6.8,2.3,0.9,1.8,1.8,10,0
power-forward,75,34.6,15.5,6.3,12.0,52.3,0.0,0.1,16.7,2.9,3.8,76.8,11.4,2.0,1.0,0.7,1.8,41,0
power-forward,82,29.0,14.8,6.0,11.1,53.5,0.2,0.5,40.0,2.7,3.6,74.8,6.3,0.9,1.0,0.4,1.0,9,0
power-forward,66,31.7,14.7,5.5,12.3,44.6,1.1,2.9,37.6,2.6,3.3,78.4,4.8,1.9,1.0,0.3,1.8,3,0
power-forward,82,36.4,14.7,5.7,12.4,46.1,1.6,4.0,40.3,1.6,2.2,73.6,9.9,1.5,1.1,1.5,1.4,38,0
power-forward,82,34.6,14.0,5.9,13.8,42.8,1.0,3.7,26.9,1.3,2.3,55.4,8.3,4.5,0.8,0.8,2.5,27,2
power-forward,74,36.5,13.6,5.1,11.0,46.9,0.0,0.1,20.0,3.3,4.4,75.2,10.1,1.5,1.1,0.4,2.3,34,0
power-forward,79,30.9,13.3,5.3,11.5,46.3,0.3,1.0,27.3,2.3,3.2,73.4,6.4,1.7,1.0,0.3,2.1,12,0
power-forward,42,32.7,13.2,4.6,9.5,48.3,0.0,0.0,0.0,4.0,5.4,74.7,8.7,3.9,1.2,0.5,2.5,15,1
power-forward,82,34.7,11.8,4.5,11.5,38.7,1.4,3.8,35.7,1.5,2.1,71.1,3.9,3.3,0.8,0.9,2.1,3,0
power-forward,79,27.0,11.6,4.7,10.5,44.5,0.1,0.5,21.4,2.1,3.3,63.7,6.5,1.1,0.8,0.9,1.6,18,0
power-forward,75,27.7,11.5,4.9,10.2,48.0,0.0,0.0,0.0,1.7,2.3,73.6,5.1,1.4,0.6,0.6,2.0,3,0
power-forward,75,33.5,11.5,4.4,9.5,45.9,0.1,0.2,35.7,2.7,3.8,70.1,7.4,1.0,0.8,1.4,1.4,13,0
power-forward,80,31.9,11.1,4.9,10.4,47.3,0.0,0.0,0.0,1.3,1.6,83.5,8.3,1.9,0.7,1.0,1.7,23,0
power-forward,76,29.7,10.9,4.1,9.3,43.9,0.0,0.1,20.0,2.7,3.2,85.9,8.5,1.0,0.6,1.2,1.1,20,0
power-forward,56,28.2,10.5,4.6,9.2,49.7,0.0,0.0,0.0,1.4,2.5,57.2,7.3,0.9,0.5,1.1,1.4,11,0
power-forward,80,34.4,10.5,4.2,8.9,47.6,0.0,0.0,0.0,2.0,2.3,85.4,8.6,1.9,1.0,0.9,1.3,24,0
power-forward,71,26.6,10.0,3.3,8.4,38.6,0.5,1.8,27.6,3.0,4.0,76.0,4.0,1.7,1.0,0.1,1.2,2,0
power-forward,28,21.8,10.0,3.8,8.7,44.0,0.2,0.6,29.4,2.1,2.9,75.0,6.2,0.7,0.4,0.6,1.2,4,0
