HT,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT,REB,AST,STL,BLK,TO,DD2,TD3
213,center,74,15.8,9.2,3.9,6.2,62.9,0.0,0.1,22.2,1.4,2.0,69.9,6.7,0.6,0.3,1.1,1.3,10,0
,center,50,16.8,9.1,3.4,6.5,52.0,0.1,0.2,33.3,2.2,2.8,77.3,6.8,1.3,0.4,0.4,1.0,9,0
208,center,48,14.9,9.0,3.1,6.8,46.0,0.8,2.5,30.3,2.0,2.6,76.0,5.6,1.5,0.7,0.4,1.8,2,0
211,center,63,15.2,9.0,3.1,6.3,49.7,1.0,3.2,32.8,1.7,2.0,80.6,3.7,1.4,0.3,0.2,0.9,3,0
208,center,82,21.9,8.7,3.3,4.9,67.1,0.2,0.5,35.1,2.0,2.6,78.3,4.9,1.2,0.5,0.5,0.8,2,0
211,center,47,20.7,8.7,3.8,5.6,67.4,0.0,0.0,0.0,1.1,2.0,58.1,5.6,0.9,0.5,1.1,0.8,4,0
213,center,72,25.7,8.5,3.6,4.8,76.1,0.0,0.0,0.0,1.2,2.5,48.6,8.6,0.5,0.8,1.8,0.8,20,0
203,center,71,25.6,8.3,3.5,6.9,51.0,0.2,0.6,32.6,1.0,1.5,71.8,8.7,1.2,0.3,1.1,1.2,12,0
213,center,68,17.9,8.3,3.4,5.4,62.6,0.2,0.4,46.7,1.3,1.9,68.9,4.9,2.4,0.7,1.1,1.2,2,0
206,center,77,15.8,8.3,3.0,6.2,49.0,0.7,2.2,34.3,1.5,1.9,76.5,3.9,0.9,0.5,0.9,1.1,4,0
213,center,65,17.9,8.2,3.3,5.1,65.2,0.0,0.0,0.0,1.6,2.6,62.3,7.6,0.4,0.3,1.6,0.8,14,0
203,center,47,20.8,8.2,3.2,6.2,51.9,0.7,2.3,30.8,1.0,1.5,68.1,4.9,0.9,0.4,0.7,1.0,4,0
211,center,56,18.2,8.1,3.1,4.8,65.8,0.2,0.5,34.5,1.7,2.3,71.8,4.4,1.2,0.5,0.8,1.1,2,0
208,center,43,13.8,8.0,2.6,5.8,45.6,1.6,3.8,42.9,1.1,1.3,84.2,3.0,0.5,0.4,0.6,0.3,0,0
211,center,73,19.7,7.9,3.4,5.9,57.0,0.0,0.0,0.0,1.2,2.2,52.4,9.3,1.8,1.1,0.9,1.6,18,0
208,center,27,16.3,7.4,2.9,5.5,52.0,0.4,1.6,28.6,1.3,1.5,87.5,4.0,0.9,0.2,0.8,0.7,0,0
216,center,36,17.0,7.1,3.1,5.5,55.3,0.1,0.2,33.3,0.9,1.5,59.3,3.5,1.5,0.1,0.5,1.2,3,0
211,center,50,14.6,7.0,2.6,5.0,52.0,0.5,1.6,28.7,1.3,1.9,68.1,3.5,1.1,0.4,0.8,0.9,2,0
213,center,22,19.1,7.0,2.6,4.6,57.4,0.6,1.3,44.8,1.1,1.3,82.8,4.2,0.9,0.3,0.7,1.0,1,0
211,center,76,26.3,6.9,2.8,5.1,54.7,0.0,0.0,0.0,1.4,2.6,54.3,10.0,3.4,0.9,0.8,1.5,14,0
208,center,73,24.6,6.5,2.8,4.4,64.1,0.0,0.0,0.0,0.9,2.3,39.2,7.7,3.1,0.8,0.7,1.4,7,0
213,center,67,15.9,6.3,2.4,4.3,56.6,0.3,0.7,40.4,1.1,1.5,75.0,5.8,0.7,0.4,0.6,1.0,3,0
