HT,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT,REB,AST,STL,BLK,TO,DD2,TD3
208,center,79,21.2,8.5,3.2,5.4,59.3,0.4,1.1,33.3,1.7,2.3,71.9,5.6,1.2,0.8,0.4,0.7,5,0
211,center,82,25.3,8.4,3.5,6.8,51.8,0.0,0.0,0.0,1.3,2.0,67.5,7.6,1.8,0.5,0.7,1.2,15,0
211,center,72,20.0,8.2,3.3,5.5,58.9,0.1,0.2,33.3,1.6,2.0,77.6,5.4,0.7,0.4,1.2,1.1,4,0
208,center,53,20.0,7.6,2.7,5.9,45.8,1.2,3.2,37.1,1.1,1.2,91.9,4.3,1.0,0.6,0.5,0.8,2,0
206,center,77,18.0,7.1,2.9,5.0,58.3,0.1,0.2,23.5,1.3,1.6,77.2,6.1,2.1,0.5,1.3,1.3,8,0
208,center,74,19.5,7.1,3.0,5.0,60.1,0.0,0.0,0.0,1.1,2.4,45.8,5.4,1.9,0.7,1.1,1.4,3,0
211,center,33,19.0,7.1,2.6,4.7,54.5,0.1,0.1,66.7,1.8,2.6,71.8,5.4,0.9,0.4,0.6,1.0,1,0
208,center,36,13.4,7.0,3.1,5.8,53.4,0.0,0.1,0.0,0.8,1.0,83.3,4.0,0.8,0.4,0.6,0.6,1,0
213,center,82,18.6,6.9,3.1,4.7,65.9,0.0,0.0,50.0,0.7,1.2,59.4,4.8,0.7,0.5,1.2,1.0,4,0
206,center,69,19.8,6.9,2.5,4.9,51.2,0.0,0.1,0.0,1.9,2.6,72.1,5.5,1.5,0.5,0.6,1.0,7,0
213,center,71,19.6,6.7,3.1,5.5,57.1,0.0,0.0,0.0,0.5,1.0,44.6,6.6,1.2,0.7,0.5,0.7,6,0
218,center,20,16.4,6.7,2.5,6.3,39.2,1.4,4.0,35.4,0.4,0.6,72.7,3.2,1.3,0.3,0.8,0.6,1,0
213,center,66,16.8,6.7,2.8,5.1,56.0,0.2,0.4,35.7,0.9,1.2,72.2,4.6,0.7,0.2,0.5,0.7,0,0
,center,52,14.6,6.5,2.6,4.6,56.9,0.0,0.0,0.0,1.3,2.1,63.6,3.4,0.9,0.5,0.3,0.7,0,0
213,center,46,25.0,6.5,2.6,4.1,64.7,0.0,0.0,0.0,1.3,2.0,62.4,9.1,1.2,0.3,0.6,1.3,4,0
208,center,28,12.6,6.3,2.8,4.9,55.8,0.0,0.1,25.0,0.8,1.0,72.4,3.0,0.4,0.1,0.6,0.8,0,0
,center,39,8.7,6.0,2.0,3.8,53.4,0.0,0.0,0.0,2.0,2.5,79.4,3.7,0.6,0.3,0.3,0.9,1,0
208,center,81,18.3,6.0,2.6,5.5,47.1,0.0,0.3,14.3,0.7,1.0,75.6,5.4,1.1,0.3,0.6,1.0,4,0
208,center,79,16.9,5.9,2.4,4.9,47.9,0.2,0.8,31.1,1.0,1.3,77.5,4.6,0.9,0.6,0.5,0.7,2,0
206,center,53,20.2,5.8,2.5,4.4,56.2,0.0,0.0,0.0,0.8,1.5,54.4,6.6,0.6,0.3,0.3,0.7,3,0
203,center,82,18.2,5.7,2.2,4.3,52.0,0.0,0.0,0.0,1.2,1.9,65.0,5.7,0.8,0.3,1.2,1.0,7,0
211,center,69,14.1,5.4,2.2,3.8,56.4,0.0,0.0,0.0,1.1,1.3,80.6,4.7,1.6,0.6,0.2,1.0,2,0
206,center,78,18.9,5.3,2.2,3.7,58.2,0.0,0.0,0.0,0.9,1.4,66.7,7.4,0.5,0.4,0.7,0.8,6,0
188,point-guard,79,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,5.4,6.7,2.1,0.2,3.3,15,2
188,point-guard,75,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,4.0,6.8,0.9,0.4,3.2,15,0
193,point-guard,80,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,7.8,10.4,2.0,0.3,4.3,54,18
183,point-guard,77,37.0,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,4.7,6.4,2.1,0.4,2.9,12,1
183,point-guard,81,35.6,20.9,7.0,16.4,42.7,2.2,6.0,37.1,4.6,5.4,84.7,4.4,5.2,1.6,0.5,2.1,3,0
191,point-guard,77,36.2,19.9,7.4,17.5,42.4,1.5,4.3,35.1,3.5,4.5,79.1,4.9,10.2,1.9,0.8,4.1,49,4
188,point-guard,53,31.5,19.6,7.4,16.6,44.8,1.6,4.9,32.1,3.2,3.6,88.5,3.0,4.7,1.1,0.3,2.3,1,0
188,point-guard,52,36.0,19.6,7.1,17.2,41.5,2.3,6.8,34.2,3.0,3.5,85.2,3.9,5.1,1.2,0.4,3.4,4,1
183,point-guard,74,32.7,19.5,7.0,15.1,46.2,1.6,4.4,37.1,4.0,4.4,89.6,4.2,10.0,2.1,0.2,2.6,38,0
188,point-guard,79,30.7,18.8,6.8,15.7,43.4,1.5,4.2,35.3,3.7,4.3,86.3,3.2,6.2,0.7,0.1,2.8,9,0
193,point-guard,65,28.2,16.8,6.3,14.4,43.8,1.3,4.0,33.6,2.8,3.3,84.3,3.0,6.0,1.4,0.3,2.6,5,0
191,point-guard,66,31.8,16.4,6.8,15.9,42.7,0.7,2.3,29.3,2.2,2.7,79.3,3.4,4.7,0.7,0.2,2.7,1,0
191,point-guard,79,28.5,15.7,5.5,12.5,43.9,1.4,3.5,40.0,3.3,3.9,83.7,2.7,5.9,1.2,0.3,2.8,4,0
191,point-guard,79,32.3,15.5,6.0,13.9,43.3,1.4,4.1,34.7,2.1,2.6,80.4,4.0,2.4,1.1,0.1,1.7,1,0
183,point-guard,56,31.4,15.3,5.3,12.4,42.2,1.4,3.8,36.3,3.4,4.1,83.4,2.9,6.1,1.2,0.3,1.5,4,0
191,point-guard,76,33.4,15.2,6.0,13.4,44.8,1.9,5.4,36.1,1.3,1.6,78.0,2.9,2.1,1.5,0.3,1.4,0,0
,point-guard,72,32.8,14.1,5.8,12.2,47.7,0.9,2.8,31.2,1.7,2.3,72.7,3.8,5.8,1.0,0.2,2.6,5,0
191,point-guard,65,32.4,14.1,4.9,11.9,41.4,1.5,4.3,34.4,2.8,3.2,86.9,2.9,5.8,0.9,0.2,2.3,4,0
183,point-guard,74,30.0,14.0,5.1,10.5,48.6,1.2,2.9,40.1,2.6,3.1,85.8,2.3,4.3,1.0,0.1,1.8,4,0
191,point-guard,80,28.2,13.2,4.9,12.0,41.0,1.6,4.6,35.1,1.8,2.4,73.7,3.4,3.3,1.2,0.2,2.5,1,0
183,point-guard,77,29.1,12.6,5.2,12.6,41.1,0.7,2.2,32.9,1.6,2.3,69.3,4.0,6.5,1.1,0.3,2.3,12,0
193,point-guard,74,34.1,12.1,4.4,10.0,44.1,1.7,4.2,40.8,1.5,2.0,76.0,4.0,3.5,1.1,0.2,1.4,0,0
185,point-guard,72,35.2,11.9,4.9,10.9,45.4,0.9,2.4,36.5,1.2,2.1,58.0,6.0,11.7,2.0,0.1,3.9,37,6
,point-guard,80,20.3,11.0,4.1,9.8,42.1,1.0,3.0,32.2,1.8,2.3,79.1,2.6,4.4,0.9,0.1,2.3,2,0
183,point-guard,64,21.3,10.6,4.1,9.9,41.3,1.4,4.0,34.4,1.0,1.3,81.7,1.8,2.3,0.5,0.1,1.3,0,0
188,point-guard,45,26.6,10.6,4.4,10.8,40.5,0.7,2.3,32.4,1.2,1.4,80.0,3.4,3.7,0.8,0.1,1.7,2,0
188,point-guard,76,30.6,10.1,2.9,7.7,37.4,0.8,2.5,32.6,3.5,4.1,84.7,4.3,8.6,2.1,0.1,2.5,14,0
188,point-guard,71,28.7,9.9,3.6,8.4,43.4,1.7,4.4,40.0,0.8,1.2,68.2,3.5,3.4,1.3,0.4,1.3,1,0
193,point-guard,40,20.2,9.8,3.8,8.1,46.5,1.0,2.5,41.0,1.2,1.4,85.5,2.1,1.2,0.5,0.0,0.7,0,0
188,point-guard,12,24.3,9.2,3.5,8.3,42.0,1.3,3.8,35.6,0.8,0.8,100.0,2.1,3.1,1.3,0.2,1.5,0,0
191,point-guard,61,27.3,9.1,3.0,8.7,34.8,1.0,4.0,25.3,2.1,2.7,77.7,4.2,3.0,1.5,0.3,1.3,2,1
196,point-guard,58,22.0,8.9,3.2,7.6,41.3,0.3,1.4,24.1,2.3,2.7,82.9,2.7,2.4,0.7,0.1,1.3,0,0
188,point-guard,61,20.7,8.7,3.0,7.3,41.1,1.3,3.3,39.9,1.4,1.6,84.8,2.3,2.6,1.1,0.1,1.0,1,0
188,point-guard,81,20.5,8.5,3.2,7.6,42.5,1.5,4.0,38.4,0.6,0.7,81.0,2.0,2.8,0.7,0.1,0.9,0,0
188,point-guard,80,25.6,8.5,3.2,7.3,43.9,0.4,1.4,27.3,1.7,2.2,76.4,2.6,3.1,0.8,0.3,1.3,0,0
185,point-guard,41,18.2,8.2,3.2,7.4,43.7,0.9,2.5,35.3,0.9,1.0,90.5,1.8,2.4,0.3,0.1,1.4,0,0
191,point-guard,76,24.6,7.5,2.7,6.7,40.5,1.3,3.1,41.0,0.8,0.9,86.4,2.1,4.4,0.6,0.1,1.5,1,0
185,point-guard,81,19.8,6.1,2.7,5.7,47.0,0.4,1.1,34.8,0.3,0.5,63.4,3.1,4.5,1.2,0.1,1.7,0,0
185,point-guard,81,18.5,5.9,2.2,5.2,43.1,0.8,2.0,39.5,0.6,0.9,74.3,1.5,2.1,0.8,0.0,1.3,0,0
,point-guard,23,20.0,5.7,2.0,6.0,32.6,0.8,3.2,24.7,1.0,1.1,84.6,2.0,4.0,0.4,0.0,1.7,0,0
188,point-guard,62,19.5,5.3,1.9,4.9,38.4,1.1,3.2,34.7,0.5,0.7,75.6,1.6,2.4,1.2,0.2,1.1,0,0
183,point-guard,51,14.5,5.1,1.9,4.5,41.9,0.3,0.9,33.3,1.0,1.5,71.6,2.2,3.2,0.6,0.0,1.3,2,0
191,point-guard,57,12.2,5.0,2.0,4.9,41.0,0.6,1.9,32.4,0.3,0.4,79.2,1.5,1.9,0.6,0.1,0.8,0,0
196,point-guard,12,13.3,4.8,1.6,4.5,35.2,0.1,0.8,10.0,1.6,2.8,57.6,1.4,1.8,0.3,0.0,0.6,0,0
191,point-guard,44,16.1,4.7,2.0,4.5,43.4,0.3,1.0,34.1,0.4,0.5,90.0,1.6,2.6,0.3,0.0,1.2,1,0
,point-guard,53,16.4,4.5,1.8,4.3,42.2,0.3,1.2,26.2,0.5,0.5,93.1,1.7,3.4,0.5,0.1,1.5,0,0
188,point-guard,7,24.1,4.4,2.0,5.6,35.9,0.0,0.7,0.0,0.4,0.6,75.0,3.6,3.0,1.3,0.4,1.3,0,0
191,point-guard,58,17.0,4.4,1.6,4.1,38.8,0.9,2.6,34.4,0.3,0.3,80.0,1.5,3.4,0.4,0.1,1.4,0,0
188,point-guard,33,19.9,4.3,1.4,4.2,34.3,0.4,1.5,29.2,1.0,1.2,87.2,2.0,2.7,0.6,0.2,0.8,0,0
185,point-guard,37,15.5,4.2,1.5,4.2,35.9,0.4,1.4,30.2,0.8,1.1,71.8,1.3,2.9,0.8,0.1,0.9,0,0
196,shooting-guard,82,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,6.1,7.5,1.7,0.6,4.6,23,3
175,shooting-guard,82,32.2,22.2,7.2,16.9,42.8,2.0,5.7,35.9,5.8,6.6,87.1,3.0,6.2,1.1,0.1,2.7,7,0
198,shooting-guard,80,33.3,22.1,8.1,17.3,47.0,3.5,8.1,42.5,2.4,2.8,87.3,3.8,2.1,0.8,0.6,1.7,0,0
191,shooting-guard,80,34.8,20.8,8.0,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,3.2,4.3,1.2,0.3,2.5,2,0
185,shooting-guard,31,34.2,20.4,7.2,15.9,45.3,1.5,4.2,37.2,4.5,5.5,80.2,4.0,6.1,2.0,0.6,3.5,3,0
193,shooting-guard,74,30.5,19.0,7.3,16.0,45.6,0.1,0.6,15.9,4.4,5.5,79.3,4.1,4.6,1.1,0.6,2.7,2,0
193,shooting-guard,55,31.1,17.4,6.5,14.5,44.9,1.9,4.9,38.7,2.5,3.2,76.7,3.4,2.9,1.0,0.2,2.0,0,0
,shooting-guard,75,28.0,16.3,5.6,11.7,48.0,2.7,5.6,47.5,2.4,2.7,88.8,1.9,1.4,0.6,0.1,1.0,0,0
191,shooting-guard,72,33.0,16.0,5.9,13.5,43.8,1.4,3.9,34.8,2.8,3.4,83.0,4.8,3.9,1.6,0.8,2.1,3,1
198,shooting-guard,79,32.5,15.4,5.4,11.8,46.2,2.0,4.9,40.0,2.5,3.0,83.6,2.8,2.7,1.2,0.0,1.7,0,0
188,shooting-guard,67,28.5,15.3,4.2,10.3,40.8,1.6,4.8,34.4,5.3,6.3,83.0,2.5,2.5,0.9,0.3,1.6,0,0
191,shooting-guard,45,32.9,15.2,5.1,12.3,41.8,2.5,6.5,38.4,2.5,2.8,88.8,2.2,2.7,1.0,0.3,1.6,0,0
198,shooting-guard,25,30.6,15.2,5.4,12.6,43.3,1.3,3.4,38.8,3.0,3.7,79.6,5.2,6.6,1.3,0.3,2.9,6,0
203,shooting-guard,79,32.2,14.5,5.2,12.3,42.0,2.0,5.7,35.9,2.2,2.5,86.0,3.4,2.7,0.9,0.2,1.6,0,0
196,shooting-guard,76,36.7,14.5,5.3,12.6,42.0,1.5,4.9,30.9,2.4,3.0,81.1,3.7,1.8,1.4,0.2,1.4,1,0
196,shooting-guard,82,28.7,14.4,5.2,12.0,43.2,1.4,4.0,34.5,2.6,3.3,80.6,5.8,2.5,0.9,0.5,1.7,6,0
196,shooting-guard,79,26.9,14.2,4.8,11.9,40.4,1.5,4.4,34.0,3.1,3.4,90.4,1.8,2.3,0.7,0.2,1.4,0,0
196,shooting-guard,82,28.0,14.0,5.3,11.7,45.2,1.5,3.9,38.9,2.0,2.5,79.3,2.8,3.1,0.8,0.2,1.9,0,0
191,shooting-guard,81,33.8,13.8,5.4,12.6,42.7,1.1,3.5,30.9,2.0,2.5,78.6,3.3,4.7,1.9,0.5,2.5,1,0
198,shooting-guard,76,27.7,13.8,4.8,11.4,42.3,1.3,3.8,34.3,2.8,3.4,84.0,2.5,2.6,0.6,0.3,2.1,3,0
198,shooting-guard,31,25.7,13.3,4.4,10.8,41.0,1.0,2.5,40.5,3.4,4.5,75.2,3.5,2.0,0.6,0.1,1.6,0,0
198,shooting-guard,1,42.0,13.0,6.0,14.0,42.9,1.0,2.0,50.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,0.0,0,0
191,shooting-guard,32,32.1,12.8,4.4,11.2,39.1,1.0,3.2,30.4,3.1,3.5,89.3,4.3,7.4,1.1,0.2,2.9,6,0
191,shooting-guard,68,30.4,12.8,4.8,13.3,36.4,1.1,3.4,31.9,2.1,3.1,67.0,3.4,5.5,1.0,0.5,3.2,4,0
196,shooting-guard,71,33.4,12.8,5.0,11.3,44.3,1.3,3.4,38.2,1.5,1.8,84.0,3.7,2.0,0.4,0.1,1.2,1,0
196,shooting-guard,78,33.9,12.5,4.2,10.9,38.8,2.4,6.7,36.0,1.6,1.9,86.3,3.1,1.9,1.0,0.2,1.0,0,0
,shooting-guard,77,30.7,12.4,4.6,11.0,41.5,2.6,6.6,40.0,0.6,0.9,63.4,2.8,1.7,1.1,0.3,0.8,1,0
193,shooting-guard,76,32.1,12.3,4.7,10.1,46.9,1.4,3.9,35.4,1.4,1.8,82.0,2.9,1.9,1.3,0.2,1.3,0,0
201,shooting-guard,81,33.4,12.2,4.7,10.6,43.9,1.5,3.9,38.3,1.5,1.8,83.1,3.6,3.9,0.8,0.0,2.0,3,0
188,shooting-guard,72,27.5,11.9,4.9,9.9,49.3,0.4,0.9,41.5,1.8,2.4,76.0,2.4,5.3,0.8,0.2,1.8,3,0
,shooting-guard,64,22.9,11.8,4.0,9.9,40.9,2.2,6.0,36.7,1.5,1.9,75.0,2.7,1.0,0.8,0.5,1.1,0,0
191,shooting-guard,78,26.3,11.7,3.8,9.3,41.2,1.0,2.9,33.6,3.1,3.7,81.5,3.2,3.0,0.7,0.5,1.9,1,0
196,shooting-guard,54,30.5,11.5,4.6,10.3,45.2,0.3,1.0,27.3,2.0,3.0,65.4,5.1,5.2,1.5,0.8,2.8,6,0
201,shooting-guard,11,27.6,11.4,4.5,10.5,42.2,1.2,4.2,28.3,1.3,1.9,66.7,5.6,2.3,0.7,0.3,1.5,1,0
193,shooting-guard,31,19.9,11.1,4.0,8.7,45.6,1.3,3.7,34.2,1.9,2.2,89.6,1.8,0.9,0.4,0.1,1.0,0,0
183,shooting-guard,77,25.5,11.0,3.4,9.4,36.0,2.3,6.3,36.3,1.9,2.3,83.3,2.3,1.8,0.7,0.2,1.2,0,0
178,shooting-guard,74,22.5,10.9,4.3,9.6,44.6,1.4,3.5,38.5,1.0,1.3,77.1,2.1,4.1,0.4,0.0,1.5,2,0
191,shooting-guard,73,29.4,10.7,4.4,10.0,43.6,0.4,1.3,32.6,1.5,2.6,58.9,3.6,6.4,1.2,0.3,2.4,14,1
198,shooting-guard,81,28.0,10.5,4.2,9.3,45.6,0.2,1.0,24.1,1.8,2.2,82.7,4.9,4.4,1.0,0.3,2.1,4,0
191,shooting-guard,52,28.9,10.4,3.6,8.4,42.3,1.9,4.4,43.7,1.3,1.7,77.8,2.7,3.1,0.9,0.2,1.4,1,0
188,shooting-guard,61,22.5,10.3,3.0,7.3,41.0,0.8,2.4,30.9,3.6,4.3,83.2,2.6,3.8,1.4,0.2,1.8,0,0
196,shooting-guard,81,26.0,10.3,3.8,8.4,45.9,1.4,3.5,39.4,1.2,1.4,86.7,2.7,1.2,0.8,0.2,0.8,0,0
196,shooting-guard,68,24.6,10.2,3.6,9.3,38.6,1.3,4.4,30.6,1.7,2.0,83.3,1.7,1.9,0.5,0.0,1.2,0,0
191,shooting-guard,82,20.3,9.9,3.4,7.2,47.3,0.4,1.4,32.4,2.6,3.5,75.6,2.5,2.9,0.6,0.1,1.4,3,0
198,shooting-guard,73,23.9,9.9,3.7,8.6,43.1,1.8,4.6,38.6,0.7,0.8,79.0,2.5,0.8,0.7,0.3,0.6,1,0
191,shooting-guard,78,27.6,9.8,3.6,9.1,39.9,1.1,3.1,35.8,1.4,2.0,71.3,2.6,2.0,1.0,0.2,1.5,0,0
193,shooting-guard,61,18.2,9.7,3.5,8.9,39.9,1.5,4.4,33.7,1.1,1.3,84.8,2.5,1.4,0.8,0.1,0.8,0,0
196,shooting-guard,79,29.5,9.6,3.7,8.1,45.4,1.0,2.7,37.8,1.3,1.5,83.9,2.6,1.7,1.1,0.4,0.9,0,0
,shooting-guard,58,19.6,9.6,3.4,7.5,45.3,1.2,3.1,39.1,1.6,1.9,81.3,2.5,3.1,1.1,0.2,1.7,0,0
185,shooting-guard,80,27.4,9.5,3.5,8.5,40.6,0.8,2.7,28.2,1.9,2.2,84.7,3.2,3.6,0.9,0.2,1.5,3,1
206,small-forward,76,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,7.4,6.8,1.4,0.6,3.3,28,3
198,small-forward,78,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,4.5,4.0,1.0,0.3,2.2,3,0
201,small-forward,72,33.1,21.2,7.7,15.1,50.5,1.8,4.0,44.3,4.1,4.6,87.4,6.8,2.6,1.8,1.0,1.5,12,0
201,small-forward,67,36.9,20.9,7.0,15.4,45.4,1.0,3.1,31.2,5.9,7.1,83.2,5.3,4.8,1.6,0.6,2.0,10,2
201,small-forward,81,35.1,20.7,7.3,16.0,45.9,0.7,2.3,30.0,5.3,7.0,76.1,3.6,2.0,1.0,0.6,2.2,1,0
201,small-forward,80,36.2,19.7,6.5,15.0,43.3,1.8,5.1,34.9,4.9,6.0,82.4,5.0,3.7,1.2,0.3,2.5,4,0
201,small-forward,79,36.1,18.2,6.4,14.5,44.4,1.8,4.6,39.6,3.5,3.9,88.8,3.8,4.2,1.7,0.2,2.3,1,0
198,small-forward,66,28.2,17.6,6.0,16.9,35.8,2.0,7.1,28.5,3.5,4.3,82.6,3.7,2.8,0.9,0.2,2.0,2,0
203,small-forward,70,34.0,17.2,6.7,14.4,46.3,1.1,3.1,34.4,2.8,3.6,78.0,6.5,1.7,1.4,0.7,2.0,7,0
,small-forward,80,35.7,14.1,5.1,11.8,43.4,1.4,3.7,36.2,2.5,3.4,74.9,5.1,2.5,0.8,0.3,1.8,4,0
206,small-forward,61,29.5,13.7,5.2,10.7,49.2,1.7,4.1,41.4,1.5,2.2,68.4,4.7,2.8,0.8,0.3,1.6,3,0
203,small-forward,81,35.3,12.7,4.4,10.6,41.6,2.3,6.2,37.1,1.6,2.0,78.3,4.5,2.3,2.0,0.3,1.4,1,0
203,small-forward,66,30.9,11.7,4.5,9.6,46.6,1.2,3.2,38.3,1.5,2.0,76.1,4.9,1.8,0.6,0.2,0.9,1,0
193,small-forward,75,27.8,11.6,4.3,9.7,44.1,1.5,4.1,35.7,1.6,2.0,81.5,5.1,2.3,1.3,0.5,1.8,1,0
,small-forward,75,30.3,11.6,4.5,9.6,47.3,1.3,3.6,36.7,1.3,1.7,75.4,5.2,1.6,1.4,0.4,0.9,5,0
,small-forward,79,26.8,11.2,4.1,9.5,43.3,1.6,4.3,38.2,1.4,1.7,83.3,3.2,1.3,0.4,0.1,1.5,1,0
203,small-forward,47,22.8,11.0,4.7,9.4,50.1,0.6,1.5,40.0,1.0,1.4,70.3,3.1,0.9,0.8,0.3,0.7,1,0
203,small-forward,82,28.5,10.2,3.6,8.8,41.6,1.5,4.3,36.1,1.4,1.9,73.7,6.1,1.7,0.9,0.6,1.5,8,0
201,small-forward,76,28.8,10.0,3.5,9.1,38.1,1.6,4.9,32.2,1.5,1.8,80.4,5.5,2.1,1.0,0.8,1.6,7,1
201,small-forward,77,26.8,9.7,3.3,7.8,41.9,0.5,1.9,24.0,2.8,4.2,65.8,4.7,1.8,0.7,1.6,1.4,3,0
198,small-forward,81,23.0,9.4,3.6,8.0,45.2,1.4,3.2,42.5,0.9,1.0,85.7,2.4,0.7,0.2,0.1,0.7,0,0
198,small-forward,73,23.1,8.1,3.1,8.2,37.5,0.9,2.8,30.7,1.1,1.4,78.4,4.2,1.6,0.8,0.2,1.6,3,0
198,small-forward,81,25.9,7.9,2.9,6.0,47.8,1.2,2.9,42.0,0.9,1.2,73.5,3.5,2.1,0.9,0.2,1.0,0,0
196,small-forward,80,24.4,7.3,2.5,6.3,39.8,1.1,3.2,34.5,1.1,1.6,72.8,2.7,1.8,0.9,0.2,0.8,0,0
,small-forward,51,16.9,6.4,2.2,5.2,43.0,0.9,2.8,33.8,1.0,1.1,89.3,1.7,1.0,0.4,0.1,0.5,0,0
201,small-forward,78,18.7,6.4,2.5,5.3,47.4,0.5,1.8,27.9,0.9,1.4,62.2,3.6,0.9,0.6,0.4,0.8,4,0
198,small-forward,66,19.9,6.2,2.2,6.2,35.5,1.1,3.7,29.0,0.8,1.0,78.1,2.6,0.6,0.5,0.2,0.6,1,0
201,small-forward,68,18.1,6.1,2.1,5.8,36.3,1.1,3.6,31.0,0.8,1.0,81.8,2.7,1.0,0.5,0.3,0.9,0,0
,small-forward,29,21.2,5.8,2.2,4.8,45.7,0.1,0.5,28.6,1.3,1.8,71.2,5.3,1.5,1.3,0.6,0.9,2,0
198,small-forward,64,20.3,5.3,2.0,5.3,37.2,0.9,2.4,36.1,0.5,0.5,90.9,3.1,1.0,0.3,0.3,0.8,1,0
201,small-forward,73,15.9,5.1,1.9,4.3,44.2,0.2,0.9,22.2,1.1,1.7,65.6,2.6,0.6,0.3,0.5,1.0,0,0
,small-forward,35,16.9,5.0,1.6,5.1,31.1,0.7,2.4,31.0,1.1,1.6,70.2,2.5,0.8,0.6,0.3,0.4,0,0
198,small-forward,53,14.6,4.5,1.7,4.3,38.6,0.7,2.0,34.3,0.5,0.7,73.0,1.7,1.1,0.6,0.4,0.7,0,0
206,small-forward,78,16.0,4.5,1.8,3.8,46.8,0.2,0.5,32.4,0.8,1.1,74.7,3.1,1.6,0.8,0.4,0.8,1,0
198,small-forward,73,22.4,4.5,1.8,3.5,51.8,0.2,0.8,28.3,0.6,0.9,66.7,3.4,1.0,0.9,0.2,0.8,0,0
198,small-forward,59,14.7,4.2,1.6,3.5,44.7,0.4,1.3,32.4,0.6,0.7,85.7,2.8,1.0,0.6,0.2,0.6,1,0
201,small-forward,66,14.1,4.1,1.6,3.6,43.5,0.4,1.3,27.9,0.6,0.8,69.6,2.3,1.0,0.5,0.2,0.7,0,0
201,small-forward,17,10.4,3.7,1.5,3.5,42.4,0.2,1.1,16.7,0.6,0.7,83.3,1.3,0.6,0.5,0.1,0.2,0,0
,small-forward,37,11.6,3.3,1.2,2.6,43.9,0.6,1.4,41.5,0.4,0.4,93.3,1.8,0.7,0.3,0.1,0.2,0,0
201,small-forward,2,3.0,3.0,1.5,2.0,75.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0
206,small-forward,77,19.0,2.9,1.3,3.0,44.5,0.1,0.3,17.4,0.2,0.2,68.4,1.9,1.0,0.5,0.2,0.4,0,0
206,small-forward,41,6.4,2.9,1.1,2.0,53.6,0.0,0.0,50.0,0.6,1.2,53.1,1.4,0.4,0.2,0.2,0.4,0,0
201,small-forward,46,9.4,2.7,1.1,2.3,47.1,0.3,1.1,30.6,0.2,0.3,68.8,1.2,0.5,0.3,0.5,0.2,0,0
203,small-forward,26,11.3,2.6,0.9,2.5,36.4,0.4,1.2,31.3,0.3,0.5,64.3,1.5,0.6,0.5,0.2,0.8,0,0
208,small-forward,10,4.4,2.4,0.8,1.8,44.4,0.7,1.5,46.7,0.1,0.1,100.0,0.5,0.0,0.0,0.0,0.1,0,0
,small-forward,33,8.4,2.3,0.8,1.9,40.3,0.5,1.5,34.0,0.2,0.2,100.0,0.6,0.3,0.1,0.0,0.4,0,0
206,small-forward,24,6.5,2.1,0.7,2.1,33.3,0.4,1.5,27.8,0.3,0.3,85.7,0.4,0.5,0.1,0.0,0.3,0,0
203,small-forward,17,9.1,1.8,0.7,2.4,30.0,0.2,0.9,26.7,0.2,0.2,75.0,1.5,0.4,0.1,0.2,0.5,0,0
203,small-forward,20,7.8,1.8,0.7,1.9,35.1,0.2,0.7,23.1,0.4,0.4,87.5,1.6,0.5,0.3,0.2,0.6,0,0
198,small-forward,6,4.8,0.8,0.3,0.8,40.0,0.0,0.0,0.0,0.2,0.2,100.0,0.7,0.0,0.0,0.2,0.0,0,0
211,power-forward,72,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.6,6.2,6.9,89.8,8.2,5.0,1.0,1.2,3.5,27,1
208,power-forward,61,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,10.3,1.9,1.3,2.0,2.0,36,0
203,power-forward,81,34.8,23.1,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,7.0,4.1,1.9,0.4,3.3,15,0
201,power-forward,72,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,7.7,4.2,0.9,0.5,2.4,22,0
206,power-forward,35,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4.0,5.5,72.7,8.4,4.9,0.8,0.5,2.4,13,0
208,power-forward,53,34.7,19.5,5.4,13.2,41.0,1.6,4.5,36.4,7.1,8.2,86.8,5.3,2.5,0.8,0.4,1.5,3,0
211,power-forward,53,33.5,19.1,6.8,14.5,46.7,1.5,4.2,36.5,4.0,5.1,79.5,7.4,2.4,0.7,0.6,1.5,15,0
